document_id,title,file_path,category,document_type,status,priority,date_created,date_modified,next_review,tags,schema_version
PROXMOX-CEPH-ARCHITECTURE-PLANNING-2026-001,Архитектурные решения: дисковая и сетевая топология для Ceph-кластера Proxmox,04_Storage_Ceph/Архитектурные решения Ceph-кластера.md,04_Storage_Ceph,reference,completed,medium,2026-08-30,2026-09-02,2026-12-01,ProxmoxVE;Ceph;Storage;Architecture;OSD,1.0
PROXMOX-CEPH-CONCEPTS-2NODE-2026-001,Ceph: производительность метаданных (WAL/DB) разные диски и связь с HA для схемы 2 узла + QDevice,04_Storage_Ceph/Ceph теория WAL-DB разные диски и HA.md,04_Storage_Ceph,reference,completed,medium,2026-08-30,2026-09-02,2026-12-01,ProxmoxVE;Ceph;Storage;OSD,1.0
PROXMOX-CEPH-OSD-DISK-PREP-2026-001,Подготовка дисков и утверждённая архитектура OSD для Ceph (sdb+nvme0n1),04_Storage_Ceph/Подготовка дисков и архитектура OSD.md,04_Storage_Ceph,setup,completed,high,2026-09-03,2026-09-03,2026-12-01,ProxmoxVE;Ceph;OSD;CRUSH;Storage;Planning,1.0
PROXMOX-CEPH-OSD-POOLS-DEPLOYMENT-2026-001,Развёртывание OSD и пулов Ceph на pve01/pve02 — до HEALTH_OK,04_Storage_Ceph/Развёртывание OSD и пулов Ceph.md,04_Storage_Ceph,setup,completed,critical,2026-09-03,2026-09-03,2026-12-01,ProxmoxVE;Ceph;OSD;Storage;Setup;pve01;pve02,1.0
PROXMOX-WINSRV2022-TEMPLATE-2026-001,Создание шаблона Windows Server 2022 (VirtIO UEFI+TPM Sysprep) — итоговый ID 2000,05_VirtualMachines/Шаблон Windows Server 2022.md,05_VirtualMachines,setup,completed,high,2026-09-05,2026-09-05,2026-12-01,ProxmoxVE;WindowsServer2022;Template;VirtIO;QEMUGuestAgent;Sysprep;UEFI;TPM,1.0
PROXMOX-VM-CLONE-2001-2026-001,Клонирование шаблона в производственную ВМ (пример 2001 win-1c-app-01 сервер 1С:ERP),05_VirtualMachines/Клонирование ВМ под роль 1С-ERP.md,05_VirtualMachines,runbook,completed,high,2026-09-02,2026-09-17,2026-12-01,ProxmoxVE;WindowsServer2022;FullClone;1C;1C-ERP;Ceph;VirtIO;UEFI;TPM;QEMUGuestAgent;Production;Diagnostics,1.0
PROXMOX-AD-THIRD-DC-PROMOTION-2026-001,Добавление третьего контроллера домена (WIN-AD → AD ВМ 2002) в домен krnn.ru — УСПЕШНО,05_VirtualMachines/Добавление третьего DC WIN-AD.md,05_VirtualMachines,runbook,completed,medium,2026-09-07,2026-09-07,2026-12-01,ActiveDirectory;AD-DS;WindowsServer2022;WindowsServer2025;krnn.ru;ProxmoxVE;Replication;DNS;Troubleshooting;dfsr,1.0
PROXMOX-RDS-2003-2026-001,Настройка терминального сервера RDS на ВМ 2003 (TC.KRNN.RU) — функционален лицензии CAL не куплены,05_VirtualMachines/Терминальный сервер RDS ВМ 2003.md,05_VirtualMachines,runbook,completed,high,2026-09-07,2026-09-07,2027-01-05,WindowsServer2022;RDS;ActiveDirectory;krnn.ru;ProxmoxVE,1.0
PROXMOX-VAULTWARDEN-INSTALL-2026-001,Установка Vaultwarden (сервер паролей) в LXC Debian 12 — CT 600 (passwd),07_Vaultwarden/Установка Vaultwarden CT600.md,07_Vaultwarden,setup,completed,medium,2026-09-08,2026-09-09,2026-12-01,Vaultwarden;LXC;Debian12;ProxmoxVE,1.0
PROXMOX-VAULTWARDEN-HTTPS-CADDY-2026-001,Настройка HTTPS для Vaultwarden через Caddy (reverse proxy самоподписанный сертификат),07_Vaultwarden/HTTPS для Vaultwarden через Caddy.md,07_Vaultwarden,setup,completed,medium,2026-09-10,2026-09-10,2026-12-01,Vaultwarden;ProxmoxVE;LXC;Debian12,1.0
PROXMOX-VAULTWARDEN-ADMIN-TOKEN-2026-001,Vaultwarden Invalid admin token из-за лишнего экранирования $$ в EnvironmentFile ошибка смены мастер-пароля,07_Vaultwarden/ADMIN_TOKEN и смена мастер-пароля.md,07_Vaultwarden,troubleshooting,completed,medium,2026-09-10,2026-09-10,2026-12-01,Vaultwarden;Troubleshooting;ProxmoxVE,1.0
PROXMOX-VAULTWARDEN-USERS-2026-001,Настройка пользователей Vaultwarden (приглашения) и ошибка Bitwarden-расширения в Chrome — НЕ ЗАВЕРШЕНО,07_Vaultwarden/Настройка пользователей и ошибка Chrome.md,07_Vaultwarden,troubleshooting,in_progress,medium,2026-09-10,2026-09-10,2026-09-25,Vaultwarden;Troubleshooting;ProxmoxVE,1.0
PROXMOX-CLUSTER-QDEVICE-SETUP-2026-001,Создание кластера Proxmox VE (krnn) из pve01+pve02 и настройка внешнего Corosync QDevice,02_Installation/Создание кластера и QDevice.md,02_Installation,setup,completed,critical,2026-08-30,2026-09-02,2026-12-01,ProxmoxVE;Cluster;QDevice;Corosync;Quorum;pve01;pve02;krnn;Debian;HighAvailability,1.0
NETWORK-SWITCH-SELECTION-2026-001,Подбор коммутатора и оптических кабелей для 10GbE SFP+ (TP-Link TL-SX3008F),01_Hardware/Подбор коммутатора и оптики.md,01_Hardware,reference,completed,medium,2026-08-30,2026-09-02,2026-12-01,Hardware;Huawei-2288H-V5;Intel-X722;Intel-X710;Switches;Optics;10GbE,1.0
ARCHIVE-QDEVICE-DRAFT-2026-001,[АРХИВ] Настройка Corosync QDevice — обобщённый черновик дубликат,99_Archive/Добавить qdevice (архив-дубликат).md,99_Archive,reference,archived,info,2026-08-30,2026-09-11,2027-09-11,ProxmoxVE;QDevice;Corosync,1.0
ARCHIVE-HARDWARE-SPEC-DRAFT-2026-001,[АРХИВ] Сводная спецификация оборудования — черновик на сценарий 3 серверов,99_Archive/hardware-spec (архив-устарело).md,99_Archive,reference,archived,info,2026-08-30,2026-09-11,2027-09-11,Hardware;Huawei-2288H-V5,1.0
PROXMOX-VM2001-USB-HASP-2026-001,Проброс USB-ключа HASP в ВМ 2001 (Srv1c) — путаница со встроенным KVM-контроллером,05_VirtualMachines/Проброс USB HASP в ВМ 2001.md,05_VirtualMachines,troubleshooting,completed,high,2026-09-11,2026-09-11,2026-12-01,ProxmoxVE;USB-Passthrough;HASP;1C;pve01,1.0
ZABBIX-STACK-INSTALL-2026-001,Установка стека Zabbix 7.0 LTS (LXC 700) — MariaDB Nginx PHP-FPM,08_Monitoring/Zabbix/Установка стека Zabbix.md,08_Monitoring/Zabbix,setup,completed,high,2026-09-14,2026-09-14,2026-10-01,ProxmoxVE;Zabbix;LXC;Debian12;MariaDB;Security,1.0
ZABBIX-PVE-API-MONITORING-2026-001,Мониторинг кластера Proxmox через API в Zabbix — ошибка 403 из-за Privilege Separation токена,08_Monitoring/Zabbix/Мониторинг Proxmox через API.md,08_Monitoring/Zabbix,setup,completed,high,2026-09-14,2026-09-14,2026-12-01,ProxmoxVE;Zabbix;krnn;pve01;pve02,1.0
ZABBIX-AGENT-PVE-NODES-2026-001,Установка Zabbix Agent на pve01/pve02 — репозиторий bookworm несовместим узлы на Debian 13,08_Monitoring/Zabbix/Установка Zabbix Agent на узлах.md,08_Monitoring/Zabbix,setup,completed,medium,2026-09-15,2026-09-15,2026-12-01,ProxmoxVE;Zabbix;Debian;pve01;pve02,1.0
